trial_id,observed_rate,n,y,prior_mean,abs_error,coverage_95,interval_lower,interval_upper,interval_width,log_pred_score,ess,method
forte_krd_asct,0.5822784810126582,158,92,0.4844186825879778,0.0978597984246804,1,0.0626244954764843,0.8752748109400272,0.8126503154635429,-4.354171689655546,4.145585557633478,EqualWeight
forte_krd_asct,0.5822784810126582,158,92,0.47154982198665385,0.11072865902600437,1,0.10403763875365257,0.8830680064857006,0.779030367732048,-4.575198421749267,5.5356640584244765,rMAP
gmmg_concept_isakrd,0.6767676767676768,99,67,0.5,0.1767676767676768,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-4.605170185988101,2.000000000000001,Uniform
gmmg_concept_isakrd,0.6767676767676768,99,67,0.4368711457319052,0.23989653103577158,0,0.42677321657538414,0.44699495658278465,0.020221740007400513,-13.903731017039718,9243.0000000028,Pooled
gmmg_concept_isakrd,0.6767676767676768,99,67,0.4822535690177973,0.19451410774987948,1,0.0626244954764843,0.8752748034894466,0.8126503080129623,-4.119024280724855,4.212657586797047,EqualWeight
gmmg_concept_isakrd,0.6767676767676768,99,67,0.46950407770729885,0.20726359906037795,1,0.10415643081068993,0.8823183290660381,0.7781618982553482,-4.4916842839793905,5.5788624077944124,rMAP
gmmghd7_isavrd,0.5,330,165,0.5,0.0,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-5.802118375376949,2.000000000000001,Uniform
gmmghd7_isavrd,0.5,330,165,0.4371948513093653,0.0628051486906347,0,0.4269675947725773,0.447448518127203,0.020480923354625702,-5.675350314099887,9011.999999996673,Pooled
gmmghd7_isavrd,0.5,330,165,0.4863304472938602,0.013669552706139787,1,0.0626244954764843,0.8752748109400272,0.8126503154635429,-5.497177833021646,4.123741577874503,EqualWeight
gmmghd7_isavrd,0.5,330,165,0.473381240796248,0.026618759203752007,1,0.10321627929806709,0.8842457942664623,0.7810295149683952,-5.152814714684299,5.449029242758319,rMAP
gmmghd7_vrd,0.3606060606060606,330,119,0.5,0.1393939393939394,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-5.802118375376949,2.000000000000001,Uniform
gmmghd7_vrd,0.3606060606060606,330,119,0.44229915667998226,0.08169309607392167,0,0.43205803260207176,0.4525645412504673,0.02050650864839554,-7.488699711566369,9011.999999995554,Pooled
gmmghd7_vrd,0.3606060606060606,330,119,0.4895778308557458,0.1289717702496852,1,0.0626244954764843,0.8752748109400272,0.8126503154635429,-5.759078416567824,4.1642977866878415,EqualWeight
gmmghd7_vrd,0.3606060606060606,330,119,0.47637895386015083,0.11577289325409024,1,0.10485875234007835,0.8842492960393429,0.7793905436992645,-5.240017214321466,5.508168939738055,rMAP
griffin_dvrd,0.6442307692307693,104,67,0.5,0.14423076923076927,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-4.653960350157604,2.000000000000001,Uniform
griffin_dvrd,0.6442307692307693,104,67,0.43710759904741286,0.2071231701833564,0,0.4270062781870365,0.44723471626639366,0.020228438079357147,-11.424494331553433,9238.000000000173,Pooled
griffin_dvrd,0.6442307692307693,104,67,0.4830008135535716,0.16122995567719767,1,0.0626244954764843,0.8752748109400272,0.8126503154635429,-3.9893276093301773,4.18490961497355,EqualWeight
griffin_dvrd,0.6442307692307693,104,67,0.4702318688778292,0.17399890035294008,1,0.10417921468615532,0.8825410716235638,0.7783618569374084,-4.385225844499977,5.56794506836583,rMAP
griffin_vrd,0.3009708737864077,103,31,0.5,0.1990291262135923,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-4.644390899141413,2.000000000000001,Uniform
griffin_vrd,0.3009708737864077,103,31,0.4409568135079554,0.13998593972154771,0,0.43084560707211494,0.4510922320187092,0.02024662494659424,-6.66955029939345,9238.999999996433,Pooled
griffin_vrd,0.3009708737864077,103,31,0.4909242848288742,0.1899534110424665,1,0.0626244954764843,0.8752748109400272,0.8126503154635429,-4.654880388388605,4.212531346890057,EqualWeight
griffin_vrd,0.3009708737864077,103,31,0.47753987270360865,0.17656899891720096,1,0.10632738843560219,0.8836708329617977,0.7773434445261955,-4.275917460403462,5.591040714454325,rMAP
